,GAP,Time,Nodes,Obj,Type,Form
0,0.875992618481731,3600.243826150894,20687,1517.9410812664387,Grid,Stages
1,0.651703301605726,3600.052242040634,214017,1351.1169709989304,Grid,MTZ
0,0.5908241761817862,3600.0403850078583,189629,1150.091361097774,Grid,SEC
3,0.8973517045746715,3600.172886133194,27037,1379.6986946173483,Delauney,Stages
4,0.7426315821743282,3600.052078962326,151450,1099.5035131275451,Delauney,MTZ
1,0.7312699219644612,3600.093575000763,71167,1053.0175171905357,Delauney,SEC
6,0.8554015755340798,3600.087420940399,49970,1521.3143539397875,Grid,Stages
7,0.6588370047053989,3600.0518450737,215274,1345.890159980994,Grid,MTZ
2,0.6739460213325773,3600.043788909912,185308,1408.2573695105914,Grid,SEC
9,0.9303846243955789,3602.155995130539,7476,1383.7051057014507,Delauney,Stages
10,0.7933579354745715,3600.062560081482,134844,1165.386520894524,Delauney,MTZ
3,0.7829191611561214,3600.056205034256,138835,1117.6319225863172,Delauney,SEC
0,0.8457037155590885,3600.2611799240112,12171,1381.854588496375,Grid,Stages
1,0.5920245673308311,3600.0423970222473,210287,1120.638652883317,Grid,MTZ
4,0.620169074553312,3600.0413920879364,187475,1203.6751318713757,Grid,SEC
3,0.9067851758148575,3600.7770080566406,20235,1364.3754473322665,Delauney,Stages
4,0.7389819540516321,3600.144604921341,120919,1041.2042133219422,Delauney,MTZ
5,0.7369295260486857,3600.045389890671,166967,1033.0809273746054,Delauney,SEC
6,0.8795777084705244,3600.187152862549,38704,1915.6043843032921,Grid,Stages
7,0.7189886817213605,3600.0469048023224,212551,1697.2796379019933,Grid,MTZ
6,0.7000015754184581,3600.040829896927,164643,1589.857644084691,Grid,SEC
9,0.9224436501241516,3600.2176201343536,20791,1893.4712390264785,Delauney,Stages
10,0.8172184855425365,3600.140676021576,105434,1442.5366636492538,Delauney,MTZ
7,0.8231389911876156,3600.052155017853,123541,1490.826258499575,Delauney,SEC
12,0.8822956079337116,3600.1851959228516,25949,1918.2608377605443,Grid,Stages
13,0.696400739023918,3600.031245946884,384328,1561.5244570760972,Grid,MTZ
8,0.6769903309838421,3600.0345299243927,312971,1467.6887927483879,Grid,SEC
15,0.9017907596325881,3600.2015500068665,32103,1514.2262733653702,Delauney,Stages
16,0.7979993355780223,3600.071532011032,175739,1455.2041482253574,Delauney,MTZ
9,0.7761357024133182,3600.0645508766174,113846,1313.0821126013543,Delauney,SEC
