,GAP,Time,Nodes,Obj,Type,Form
0,0.8425533378310696,3600.0908210277557,45263.0,1195.553017537986,Grid,Stages
1,0.5791068318967832,3600.0,182788.0,1118.0736961449795,Grid,MTZ
2,0.5674229176907659,3600.0559980869293,135473.0,1087.874506969289,Grid,SEC
3,0.9019642498234498,3600.8534059524536,35729.0,1154.5889292742122,Delauney,Stages
4,0.7011890635191478,3600.0,213108.0,947.0117891267643,Delauney,MTZ
5,0.7200402863306216,3600.073376893997,136987.0,1010.7792862708708,Delauney,SEC
6,0.8678197049952028,3600.149085998535,57395.0,1389.520028836258,Grid,Stages
7,0.5945224444340115,3600.0,221053.0,1132.4126625841225,Grid,MTZ
8,0.5827169164633356,3600.0508980751038,295268.0,1100.3751084873209,Grid,SEC
9,0.9171717046138561,3600.404989004135,40103.0,1162.973959683629,Delauney,Stages
10,0.7558165962372939,3600.0,188065.0,986.2172159812094,Delauney,MTZ
11,0.766202537313347,3600.1304111480713,141741.0,1038.5350088259624,Delauney,SEC
12,0.8770420048467241,3601.010251045227,45023.0,1576.1564496044502,Grid,Stages
13,0.6504396722769031,3600.0,140233.0,1386.0342673438736,Grid,MTZ
14,0.6412878347578428,3600.06879901886,193013.0,1350.6723208037795,Grid,SEC
15,0.8921575039271651,3600.0833690166473,39396.0,1008.0370877578046,Delauney,Stages
16,0.7122256446093013,3600.0,241588.0,944.396483228862,Delauney,MTZ
17,0.6941138406757914,3600.0962669849396,140096.0,888.4778892737801,Delauney,SEC
18,0.8737461869462161,3600.170168876648,60661.0,1437.4684431756268,Grid,Stages
19,0.6276939211161902,3600.0,177398.0,1218.6604140302697,Grid,MTZ
20,0.6388983401800113,3600.0280108451843,179140.0,1256.4735384066146,Grid,SEC
21,0.9275228853149314,3600.151600122452,36936.0,1455.1850591064774,Delauney,Stages
22,0.7890124290831033,3600.0,123888.0,1249.6898983021088,Delauney,MTZ
23,0.8091322946817525,3600.0554320812225,109263.0,1381.4229893030451,Delauney,SEC
24,0.8725935553201923,3600.187562942505,32668.0,1525.444076195024,Grid,Stages
25,0.6403703829078916,3600.0,240871.0,1351.052562615395,Grid,MTZ
26,0.6256043860474393,3600.1083970069885,112244.0,1297.7676491323716,Grid,SEC
27,0.9153953111368646,3600.244161128998,41558.0,1389.7679136275174,Delauney,Stages
28,0.7624912024574003,3600.0,257581.0,1239.9329835093988,Delauney,MTZ
29,0.7832945221226361,3600.1126279830933,96449.0,1356.4595029638022,Delauney,SEC
