,GAP,Time,Nodes,Obj,Type,Pct,Model,Mode
0,0.8835585315359424,0.0,123849.0,576.3387715087904,Grid,Alpha-e,Stages,1
1,0.39181304436184994,7200.051878929138,314227.0,635.1613557614522,Grid,Alpha-e,MTZ,1
2,0.7860963717303735,0.0,38021.0,699.7498046402143,Grid,Alpha-e,Stages,2
3,0.4299250018606812,7200.07103395462,56010.0,690.7235302121861,Grid,Alpha-e,MTZ,2
4,0.9046096249917673,0.0,126073.0,703.5272990745933,Grid,Alpha-e,Stages,3
5,0.4867647450055326,7200.104223012924,283235.0,676.5712143472552,Grid,Alpha-e,MTZ,3
6,0.9145924960867478,0.0,132981.0,837.0498594425337,Grid,Alpha-e,Stages,1
7,0.33206743898705054,7200.132821083069,36281.0,892.8448289069311,Grid,Alpha-e,MTZ,1
8,0.8930177355498522,0.0,133027.0,739.8508503114138,Grid,Alpha-e,Stages,2
9,0.19447550414847897,7200.082991838455,189966.0,810.8565319118572,Grid,Alpha-e,MTZ,2
10,0.8792647128207891,0.0,56161.0,892.2304365261409,Grid,Alpha-e,Stages,3
11,0.46388497371422843,7200.127004146576,474129.0,830.1089282492878,Grid,Alpha-e,MTZ,3
12,0.8568490900853554,0.0,65331.0,478.47829883522246,Grid,Alpha-e,Stages,1
13,0.3433884911643136,7200.0518090724945,420163.0,475.6515572586652,Grid,Alpha-e,MTZ,1
14,0.8710091313074644,0.0,101861.0,531.0035085966906,Grid,Alpha-e,Stages,2
15,0.2990985984434671,7200.130800008774,474241.0,484.0358129727112,Grid,Alpha-e,MTZ,2
16,0.8748808293234387,0.0,135965.0,547.434925298003,Grid,Alpha-e,Stages,3
17,0.3949576578396283,7200.112493991852,310926.0,574.0179904489053,Grid,Alpha-e,MTZ,3
18,0.9015185236716574,0.0,170691.0,914.7659504162897,Grid,Alpha-e,Stages,1
19,0.2671853805857835,7200.053654909134,412253.0,962.0360643182615,Grid,Alpha-e,MTZ,1
20,0.9234624784322295,0.0,233863.0,1177.0370851651826,Grid,Alpha-e,Stages,2
21,0.18527887313808758,7200.07791519165,215418.0,1119.7353526959162,Grid,Alpha-e,MTZ,2
22,0.8481938999198678,0.0,81057.0,1186.8759060954658,Grid,Alpha-e,Stages,3
23,0.37368449959452715,7200.131201982498,408312.0,1136.5949408889885,Grid,Alpha-e,MTZ,3
24,0.9049456330371789,0.0,359027.0,873.622050618414,Grid,Alpha-e,Stages,1
25,0.337972002394064,7200.080305099487,762901.0,855.6705178355637,Grid,Alpha-e,MTZ,1
26,0.9369078984798889,0.0,175925.0,919.1118274975001,Grid,Alpha-e,Stages,2
27,0.10335572368722779,7200.063071012497,287574.0,922.8626830057557,Grid,Alpha-e,MTZ,2
