,GAP,Time,Nodes,Obj,Type,Form
0,,,,,Grid,Stages
1,0.7096969309523611,3600.1419439315796,129703.0,2663.3262740298005,Grid,MTZ
2,0.733718692636625,3600.219923019409,77719.0,2455.127464173914,Grid,SEC
3,,,,,Delauney,Stages
4,0.8377232002499965,3600.219524860382,168733.0,2457.207481317821,Delauney,MTZ
5,0.8006808789073344,3600.1503648757935,102100.0,2491.482725534114,Delauney,SEC
6,,,,,Grid,Stages
7,0.6762714913058001,3600.175122022629,85532.0,2710.3291847265186,Grid,MTZ
8,0.6966872673025559,3600.1259949207306,34261.0,2851.9301648645937,Grid,SEC
9,0.9279754957355726,3600.1464409828186,36191.0,1839.5791968812152,Delauney,Stages
10,0.7494052025503806,3600.2700250148773,47781.0,1981.43209988352,Delauney,MTZ
11,0.8096934641688863,3600.3664581775665,42534.0,2477.0366553421127,Delauney,SEC
12,,,,,Grid,Stages
13,0.6303122146184688,3600.2122271060944,238650.0,3311.7907694992377,Grid,MTZ
14,0.6165676219449996,3600.152120113373,110814.0,3076.494363564316,Grid,SEC
15,,,,,Delauney,Stages
16,0.6490068270011365,3600.23210811615,115902.0,2932.7182297446734,Delauney,MTZ
17,,,,,Delauney,SEC
18,,,,,Grid,Stages
19,,,,,Grid,MTZ
20,,,,,Grid,SEC
21,,,,,Delauney,Stages
22,,,,,Delauney,MTZ
23,,,,,Delauney,SEC
