,Instance,List,Gap,Time,Nodes,ObjVal,ObjVal_h,Time_h,Structure,Pct,Model
0,0,0,0.7208673028694456,0.0,481157.0,554.8394265503275,625.1871811707653,66.35635304450989,Grid,Alpha-e,MTZ
1,0,0,0.7003017151911599,0.0,627621.0,520.9089288955659,660.3450240938674,78.15587377548218,Delauney,Alpha-e,MTZ
2,1,0,0.6479040329038823,0.0,665025.0,737.853006235014,797.203331024373,43.74301791191101,Grid,Alpha-e,MTZ
3,1,0,0.7956725026131561,0.0,422635.0,756.1223993866835,875.7886268884059,337.81938099861145,Delauney,Alpha-e,MTZ
4,2,0,0.7924474194719184,0.0,431506.0,642.3644182956072,811.8522738537154,40.16872978210449,Grid,Alpha-e,MTZ
5,2,0,0.8174776119065663,0.0,801915.0,621.0160128341233,677.5393867440483,223.98982310295105,Delauney,Alpha-e,MTZ
6,3,0,0.7947655911586302,0.0,493460.0,641.1140225442346,770.8226255823104,39.84310698509216,Grid,Alpha-e,MTZ
7,3,0,0.8210325383511863,0.0,283141.0,640.4542513852377,737.6839160107868,77.87975192070007,Delauney,Alpha-e,MTZ
8,4,0,0.641274043189728,0.0,702574.0,587.7835080244511,618.7293417427935,335.49102878570557,Grid,Alpha-e,MTZ
9,4,0,0.7780191606764527,0.0,342691.0,551.847519643176,699.7176682950033,56.74786305427551,Delauney,Alpha-e,MTZ
10,0,0,0.5836044031535014,0.0,796177.0,637.877797220508,767.68033660018,59.93138003349304,Grid,Alpha-g,MTZ
11,0,0,0.6552996106273054,0.0,1011452.0,567.8207179834883,646.0062015617037,96.24503707885742,Delauney,Alpha-g,MTZ
12,1,0,0.5733201726951669,0.0,834019.0,684.5446967936631,850.5939656993116,72.733571767807,Grid,Alpha-g,MTZ
13,1,0,0.5531451009594692,0.0,725553.0,638.8279929413573,778.4480486873293,100.54993486404419,Delauney,Alpha-g,MTZ
14,2,0,0.536551069117586,0.0,1226403.0,622.2799915978475,737.7517711905787,52.53993606567383,Grid,Alpha-g,MTZ
15,2,0,0.5917138930027699,0.0,1017411.0,587.2011362237718,668.4998874892002,85.67615103721619,Delauney,Alpha-g,MTZ
16,3,0,0.5141332838758224,0.0,1497166.0,571.8800597262039,635.0642517509862,45.020710945129395,Grid,Alpha-g,MTZ
