,Instance,List,Gap,Time,Nodes,ObjVal,ObjVal_h,Time_h,Structure,Pct,Model
0,0,0,0.0,13.302152156829834,1.0,667.1444471646262,760.8811213314874,22.042145013809204,Grid,Alpha-e,MTZ
1,0,0,0.0,45.38086700439453,1.0,608.6384779660898,593.5808731137494,35.03549599647522,Delauney,Alpha-e,MTZ
2,1,0,0.8069210012274587,7200.152208805084,75307.0,744.3444106327481,918.1013905072342,46.307064056396484,Grid,Alpha-e,MTZ
3,1,0,0.0,91.0189049243927,7.0,1038.6375425485844,,,Delauney,Alpha-e,MTZ
4,2,0,0.0,125.41991710662842,1591.0,705.4377114217671,862.4103652566798,46.257888078689575,Grid,Alpha-e,MTZ
5,2,0,0.0,118.16282486915588,1.0,714.9741757617103,675.8613866756043,180.7252221107483,Delauney,Alpha-e,MTZ
6,3,0,0.0,13.596399068832397,1.0,763.8965954222978,808.4966846502452,60.50242209434509,Grid,Alpha-e,MTZ
7,3,0,0.0,51.8829619884491,1.0,701.1156960734065,694.9271988994375,81.62562108039856,Delauney,Alpha-e,MTZ
8,4,0,0.0,19.282088041305542,1.0,690.0949207379498,656.670810660391,82.54477787017822,Grid,Alpha-e,MTZ
9,4,0,0.8232013980072237,7200.056704998016,3448.0,695.9412063682753,,,Delauney,Alpha-e,MTZ
10,0,0,0.5939670751282186,7200.032023906708,943290.0,636.5063615651937,718.2693855921094,14.975922107696533,Grid,Alpha-g,MTZ
11,0,0,0.8073850431312133,7200.073323011398,784275.0,567.7126568839548,624.1898623540773,17.11542510986328,Delauney,Alpha-g,MTZ
12,1,0,0.0,260.5901710987091,2071.0,747.3113808171332,732.1960324243252,16.980348110198975,Grid,Alpha-g,MTZ
13,1,0,0.0,70.92188787460327,2001.0,672.6993794613284,667.577461850643,89.87213182449341,Delauney,Alpha-g,MTZ
14,2,0,0.5211764043724927,7200.047884941101,1454970.0,609.7359357061179,674.1342069729291,9.58216404914856,Grid,Alpha-g,MTZ
15,2,0,0.5887888577699013,7200.075086116791,1023606.0,583.1578109000786,627.408134115905,32.48102807998657,Delauney,Alpha-g,MTZ
16,3,0,0.5599056269629151,7200.041025161743,1096745.0,576.2710978231362,682.2336896754676,25.049505949020386,Grid,Alpha-g,MTZ
17,3,0,0.0,50.88462686538696,1.0,776.9537345430367,,,Delauney,Alpha-g,MTZ
18,4,0,0.5990168720864133,7200.058256864548,741561.0,627.653517857588,744.9148743460408,11.435455799102783,Grid,Alpha-g,MTZ
