,Instance,List,Gap,Time,Nodes,ObjVal,Structure,Pct,Model
0,0,0,0.7520396103450967,0.0,270967.0,541.2939782894664,Grid,Alpha-e,MTZ
1,0,0,0.805455103566604,0.0,389801.0,510.239718143014,Delauney,Alpha-e,MTZ
2,1,0,0.7036454604448704,0.0,588445.0,743.9474474806063,Grid,Alpha-e,MTZ
3,1,0,0.7272705478810415,0.0,654309.0,765.3340726495671,Delauney,Alpha-e,MTZ
4,2,0,0.7887557652979308,0.0,420941.0,640.7371570173867,Grid,Alpha-e,MTZ
5,2,0,0.8150920503524114,0.0,709201.0,613.0040699860457,Delauney,Alpha-e,MTZ
6,3,0,0.6721400086324922,0.0,676988.0,678.3960126493758,Grid,Alpha-e,MTZ
7,3,0,0.6876161200028302,0.0,738165.0,652.6997859224525,Delauney,Alpha-e,MTZ
8,4,0,0.7470273156029357,0.0,293839.0,555.2539147495662,Grid,Alpha-e,MTZ
9,4,0,0.6811539253599721,0.0,499458.0,557.5927792246366,Delauney,Alpha-e,MTZ
10,0,0,0.5749371406669828,0.0,1007020.0,635.6855887290042,Grid,Alpha-g,MTZ
11,0,0,0.641403909638569,0.0,952429.0,580.9017630620339,Delauney,Alpha-g,MTZ
12,1,0,0.508989124355537,0.0,1241369.0,684.042350218486,Grid,Alpha-g,MTZ
13,1,0,0.6796150740890488,0.0,684744.0,639.460519633902,Delauney,Alpha-g,MTZ
14,2,0,0.5223567063696517,0.0,1355556.0,614.9469310203459,Grid,Alpha-g,MTZ
15,2,0,0.7221468725318841,0.0,692710.0,583.7138071667816,Delauney,Alpha-g,MTZ
16,3,0,0.5303407971435468,0.0,890261.0,577.1986376610129,Grid,Alpha-g,MTZ
17,3,0,0.6251078893244861,0.0,620587.0,606.6866603524779,Delauney,Alpha-g,MTZ
18,4,0,0.5829942076489721,0.0,1066797.0,639.5572899322951,Grid,Alpha-g,MTZ
19,4,0,0.6626984910041931,0.0,1150841.0,563.3110544195921,Delauney,Alpha-g,MTZ
20,0,1,0.7705539784580103,0.0,182135.0,1149.1463722162407,Grid,Alpha-e,MTZ
21,0,1,0.8206640185143863,0.0,318059.0,1232.7115522287136,Delauney,Alpha-e,MTZ
22,1,1,0.7655597739628223,0.0,109706.0,1044.8783111185853,Grid,Alpha-e,MTZ
23,1,1,0.784360435985327,0.0,32509.0,1056.2287139672399,Delauney,Alpha-e,MTZ
24,2,1,0.7743943619363063,0.0,278805.0,1120.3314914935709,Grid,Alpha-e,MTZ
25,2,1,0.7876316932445795,0.0,168754.0,1086.4003345826566,Delauney,Alpha-e,MTZ
26,3,1,0.751783047326335,0.0,197153.0,1225.0739884848049,Grid,Alpha-e,MTZ
27,3,1,0.8009568326102249,0.0,190577.0,1067.5563026830266,Delauney,Alpha-e,MTZ
28,4,1,0.7331464606829734,0.0,177199.0,1022.1679870613511,Grid,Alpha-e,MTZ
29,4,1,0.7725639546710871,0.0,230146.0,1093.2926321311286,Delauney,Alpha-e,MTZ
